Название подразделения,ID,Адрес,Номера отделов с составе УМВД,входят ОП с ID,E-mail,Адрес сайта,"Должность, звание",Руководитель,Телефон приёмной руководителя ,Телефон дежурной части,Подать заявление через электронную приёмную,Фото здания,"Отчёты о работе УУП , рук-ля ОП, рук-ля УМВД",Контакты прокуратуры,Контакты Общественного совета,Контакты УСБ ,Контакты ОНК
УМВД России по Фрунзенскому району СПб,У17,"192007, г. Санкт-Петербург, ул. Расстанная, д.15","5,7,12,14,27 отделы полиции","5, 7, 12, 14, 27",SPB_ODiR_680@mvd.ru,http://фрунз.78.мвд.рф/,"Начальник, полковник полиции",Хлусов Николай Васильевич,573-62-18,766-02-02,https://xn--g1alimd.78.xn--b1aew.xn--p1ai/obrash,,,"Санкт-Петербург, ул. Пражская, дом 46; Прокурор района старший советник юстиции Тимошенко Алексей Борисович; Тел.: 708-81-30",,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
УМВД России по Центральному району СПб,У18,"191024, г. Санкт-Петербург, ул. Мытнинская, д.3","28,76,78 отделы полиции","28, 76, 78",SPB_ODiR_681@mvd.ru,http://центр.78.мвд.рф/,"Начальник, полковник полиции",Станак Анатолий Владимирович,573-48-96,"271-02-02, 573-48-80",https://xn--e1aqjhr.78.xn--b1aew.xn--p1ai/obrash,,УУП: https://78.мвд.рф/slujba/otch/uup/отчеты-ууп.2016,"Санкт-Петербург, Лиговский пр., дом 44; Прокурор района советник юстиции Забурко Петр Алексеевич; Тел.: 712-02-51",,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Управление полиции на Петербургском метрополитене,УМ,"198095, г. Санкт-Петербург, наб. Обводного канала, 120","УВД в метрополитене ОП№1, ОП№2, ОП№3 ","М1, М2, М3",-,-,"Начальник, подполковник полиции",Платов Михаил Викторович,573-00-04,573-00-00                      251-65-62,https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Санкт-Петербургское линейное управление МВД России на транспорте,УТ,"191036, г. Санкт-Петербург, ул. Полтавская, 9",ЛПП на ст. Рыбацкое,ЛП1,-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720894/,Врио начальника  подполковник полиции ,Хорьков Эдуард Васильевич,-,717-55-75,https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Санкт-Петербург-Балтийский линейный отдел МВД России на транспорте,УТБ,"190005, г. Санкт-Петербург, наб. Обводного канала, 114-2",ЛПП на ст. Ораниенбаум,ЛП4,-,https:/сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720869/,-,-,-,252-56-03,https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Санкт-Петербург-Витебский линейный отдел МВД России на транспорте,УТВит,"192007, г. Санкт-Петербург, наб. Обводного канала, 66",ЛПП наст. Шушары                     ЛПП на ст. Царское село ,"ЛП2, ЛП3",-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720874/,Подполковник юстиции ,Жуков Сергей Игоревич,-,"457-55-17, 457-53-42",https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Санкт-Петербург-Финляндский линейный отдел МВД России на транспорте,УТФ,"195009, г. Санкт-Петербург, ул. Боткинская, 1-А",ЛПП на ст. Удельная       ЛПП на ст. Зеленогорск ,"ЛП5, ЛП6",-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720873/,Подполковник внутренней службы ,Николаев Виктор Александрович,-,"542-21-46, 457-74-32",https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Санкт-Петербургский линейный отдел МВД России на водном транспорте,УТВод,"198035, г. Санкт-Петербург ул. Двинская, 1",-,-,-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720875/,Полковник полиции ,Денисов Алексей Владимирович,-,"251-66-22, 714-96-92",https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
Линейный отдел МВД России в аэропорту Пулково,УТП,"196210, г. Санкт-Петербург, ул. Штурманская, 16",-линейный ОВД в аэропорту Пулково; Пулково-1; Пулково-2 ,,-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720893/,Майор полиции ,Логинов Владимир Анатольевич,-,"600-26-11, 600-26-12, 600-26-13",https://78.xn--b1aew.xn--p1ai/request_main,,,,,"Санкт-Петербург, ул. Жукова, 7А;                                Тел.: 541-02-02","Санкт-Петербург, Суворовский пр. 62; 199004, а/я 62;                                                                           mail@onkspb.ru"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Санкт-Петербургское линейное управление МВД России на транспорте,ЛПП на ст. Рыбацкое                     ЛПП на ст. Мга                                    ЛПП на ст. Кириши,для инфо: что в этих умвд в подчинении часть ОП по СПБ (жирным) и часть по ЛО,,,,,
,,ГУ МВД:,,,,,,,,Санкт-Петербург-Балтийский линейный отдел МВД России на транспорте,ЛПП на ст. Луга                         ЛПП на ст. Гатчина               ЛПП на ст. Кингисепп           ЛПП на ст. Ораниенбаум                  ЛПП на ст. Усть-Луга,,,,,,
,,Телефон факсимильного аппарата для принятия сообщений от граждан с ограниченными возможностями речи и слух,Телефон справочной,Адрес приемной,,,,,,Санкт-Петербург-Витебский линейный отдел МВД России на транспорте,ЛПП наст. Шушары                     ЛПП на ст. Царское село                                    ЛПП на ст. Вырица,,,,,,
,,573-24-22,573-26-76,"Санкт-Петербург, ул. 2-я Советская, д.5",,,Санкт-Петербургское линейное управление МВД России на транспорте,это и есть Московское и Ладожское направления,,Санкт-Петербург-Финляндский линейный отдел МВД России на транспорте,"ЛОП на ст. Выборг                      ЛПП на ст. Бусловская              ЛПП на ст. Удельная       ЛПП на ст. Зеленогорск        
ЛПП на ст. Сосново          ЛПП на ст. Девяткино          ЛПП на ст. Мельничный ручей",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Сверено с сайтом 15.11:,,Сменился нач. Выборгского УМВД. Указан текущий,,,,,,573-17-56,с сайтов,5735922,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ответ Денису на обзвон,,,,,,,,,,,,,,,,,
Район,,Телефон горячий линии,Комментарий,,,,,Кировский,5732181 (общий),"долго пытались найти нужный телефон, в итоге он совпал с общегородским.",,,,,,,
Адмиралтейский,,5732181 (общий),-,,,,,Красногвардейский,5732181 (общий),До ДЧ удалось дозвониться с 2ого раза,,,,,,,
Василеостровский,,5732181 (общий),-,,,,,Красносельский,-,"СП знал только про 02 и 112, про телефон доверия не знает.",,,,,,,
Выборгский,,5732181 (общий),До ДЧ удалось дозвониться с 3его раза,,,,,Кронштадтский,5732181 (общий),Вопрос про телефон доверия оказался не понятным,,,,,,,
Калининский,,5732181 (общий),"Сообщили, что раньше был собственный телефон доверия",,,,,Курортный,5732181 (общий),-,,,,,,,
Колпинский,,5732181 (общий),"долго пытались найти нужный телефон, в итоге он совпал с общегородским.",,,,,Московский,5732181 (общий),До ДЧ удалось дозвониться с 3его раза,,,,,,,
