Название подразделения,ID,Адрес,Номера отделов в составе УМВД,входят ОП с ID,E-mail,Адрес сайта,"Должность, звание",Руководитель,Телефон приёмной руководителя ,Телефон дежурной части,Подать заявление через электронную приёмную,Фото здания,Прокуратура: адрес,Прокурор,Тел.,Подать заявление через электронную приёмную (прокуратура),Контакты Общественного Совета при ГУ МВД,Подать заявление через электронную приёмную,Контакты подразделения собственной безопасности,Руководитель подразделения собственной безопасности,Отчёты о работе руководителя УМВД,Отчёты о работе участковых уполномоченных полиции,Комментарий,Скрытые комментарии,Иконка
ОМВД России по Курортному району Санкт-Петербурга,У10,"197701, Санкт-Петербург, г. Сестрорецк, ул. Володарского, д.7, к.9","50,81 отделения полиции, Дежурная часть ОМВД России по Курортному району","50, 81, ДКУР",SPB_ODiR_673@mvd.ru,https://курорт.78.мвд.рф,"Начальник, полковник полиции",Чичин Станислав Антонович,(812) 573-17-82,(812) 437-02-02,https://курорт.78.мвд.рф/obrash,NO_PHOTO.jpg,"Санкт-Петербург, город Сестрорецк, Приморское ш., д. 280",Прокурор Курортного района старший советник юстиции Мельник Виктор Дмитриевич,(812) 437-11-06,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://курорт.78.мвд.рф/document/9310177,https://курорт.78.мвд.рф/document/9223981,-,,headquarters.png
УМВД России по Московскому району Санкт-Петербурга,У11,"196084, Санкт-Петербург, Московский пр., д.95","29,33,51 отделы полиции","29, 33, 51",SPB_ODiR_674@mvd.ru,https://московский.78.мвд.рф,"Начальник, полковник полиции",Плаксин Алексей Алексеевич,(812) 388-13-32,(812) 573-46-50,https://московский.78.мвд.рф/для-граждан/прием-обращений,U11_ph1.jpg,"Санкт-Петербург, Московский проспект, д.129",Прокурор Московского района старший советник юстиции Ребо Владимир Аркадьевич,(812) 388-03-76,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,https://московский.78.мвд.рф/деятельность/отчеты/отчеты-ууп,-,,headquarters.png
УМВД России по Невскому району Санкт-Петербурга,У12,"193148, Санкт-Петербург, ул. Грибакиных, д.5","10,23,24,32,45,70,75 отделы полиции","10, 23, 24, 32, 45, 70, 75",SPB_ODiR_675@mvd.ru,https://невский.78.мвд.рф,"Начальник, полковник полиции",Филиппова Светлана Юрьевна,(812) 573-56-47,(812) 573-57-15,https://невский.78.мвд.рф/для-граждан/прием-обращений,U12_ph1.jpg,"Санкт-Петербург, ул.Народная, дом 38 А",Прокурор Невского района советник юстиции Винецкий Виктор Владимирович,(812) 447-60-79,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://невский.78.мвд.рф/document/9438640,https://невский.78.мвд.рф/деятельность/отчеты-должностных-лиц/отчеты-ууп,-,,headquarters.png
УМВД России по Петроградскому району Санкт-Петербурга,У13,"197101, Санкт-Петербург, ул. Большая Монетная, д.20 ","18,43,71 отделы полиции","18, 43, 71",SPB_ODiR_676@mvd.ru,https://петроград.78.мвд.рф,"Начальник, полковник полиции",Черняк Михаил Николаевич,(812) 573-44-75,"(812) 233-02-02, (812) 232-53-74",https://78.мвд.рф/request_main,NO_PHOTO.jpg,"Санкт-Петербург, Большая Монетная, дом 27 А",Прокурор Петроградского района старший советник юстиции Царев Денис Владимирович,(812) 232-72-93,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
ОМВД России по Петродворцовому району Санкт-Петербурга,У14,"198516, Санкт-Петербург, г. Петергоф, ул. Первого Мая, д.3","46,85 отделы полиции","46, 85",SPB_ODiR_677@mvd.ru,https://петродворец.78.мвд.рф,"Начальник, полковник полиции",Захарян Роман Родионович,(812) 573-52-71,(812) 573-52-50,https://78.мвд.рф/request_main,U14_ph1.jpg,"г. Ломоносов, Дворцовый пр., д. 42",Прокурор Петродворцового района старший советник юстиции Виноградов Сергей Владимирович,(812) 422-78-73,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://78.мвд.рф/slujba/otch/Otcheti_rukovodstva/otch-2015,https://78.мвд.рф/slujba/otch/uup/отчеты-ууп.2016,-,,headquarters.png
УМВД России по Приморскому району Санкт-Петербурга,У15,"197327, Санкт-Петербург, ул. Ильюшина, д.18-А","25,34,35,44,53,86 отделы полиции","25, 34, 35, 44, 53, 86",SPB_ODiR_678@mvd.ru,https://приморск.78.мвд.рф,"Начальник, полковник полиции",Станак Анатолий Владимирович,(812) 573-59-00,(812) 573-59-02,https://приморск.78.мвд.рф/grazhd/прием-обращений,U15_ph1.jpg,"Санкт-Петербург, ул. Омская, д. 5",Прокурор Приморского района старший советник юстиции Юрасов Александр Германович,(812) 430-98-50,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://приморск.78.мвд.рф/document/9403439,https://приморск.78.мвд.рф/deyat/отчеты-должностных-лиц/ууп,-,,headquarters.png
ОМВД России по Пушкинскому району Санкт-Петербурга,У16,"196600, Санкт-Петербург, г. Пушкин, ул. Пушкинская, д.36",Дежурная часть ОМВД России по Пушкинскому району,ДП,SPB_ODiR_679@mvd.ru,https://пушкин.78.мвд.рф,"Начальник, полковник полиции",Доценко Игорь Анатольевич,(812) 573-19-48,"(812) 573-18-90, (812) 470-02-02",https://78.мвд.рф/request_main,U16_ph1.jpg,"Санкт-Петербург, ул.Глинки, дом 30 ",И.О. Пушкинского прокурора района советник юстиции Никитина Ирина Николаевна,(812) 476-85-69,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
УМВД России по Фрунзенскому району Санкт-Петербурга,У17,"192007, Санкт-Петербург, ул. Расстанная, д.15","5,7,12,14,27 отделы полиции","5, 7, 12, 14, 27",SPB_ODiR_680@mvd.ru,https://фрунз.78.мвд.рф,"Начальник, полковник полиции",Хлусов Николай Васильевич,(812) 573-62-18,(812) 766-02-02,https://фрунз.78.мвд.рф/obrash,U17_ph1.jpg,"Санкт-Петербург, ул. Пражская, дом 46",Прокурор Фрунзенского района старший советник юстиции Тимошенко Алексей Борисович,(812) 708-81-30,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://фрунз.78.мвд.рф/document/8273438,-,-,,headquarters.png
УМВД России по Центральному району Санкт-Петербурга,У18,"191024, Санкт-Петербург, ул. Мытнинская, д.3","28,76,78 отделы полиции","28, 76, 78",SPB_ODiR_681@mvd.ru,https://центр.78.мвд.рф,"Начальник, полковник полиции",Травников Александр Владимирович,(812) 573-48-96,"(812) 271-02-02, (812) 573-48-80",https://центр.78.мвд.рф/obrash,U18_ph1.jpg,"Санкт-Петербург, Лиговский пр., дом 44",Прокурор Центрального района советник юстиции Забурко Петр Алексеевич,(812) 712-02-51,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,https://центр.78.мвд.рф/Dejatelnost/otcheti/nach,https://центр.78.мвд.рф/Dejatelnost/otcheti/uup/2016,-,,headquarters.png
Управление полиции на Петербургском метрополитене,УМ,"198095, Санкт-Петербург, наб. Обводного канала, 120","УВД в метрополитене ОП№1, ОП№2, ОП№3 ","М1, М2, М3",-,,"Начальник, подполковник полиции",Платов Михаил Викторович,(812) 573-00-04,"(812) 573-00-00, (812) 251-65-62",https://78.мвд.рф/request_main,UM_ph1.png,"198013, Санкт-Петербург, Московский пр., дом 28 ","Прокурор прокуратуры Петербургского метрополитена
Старший советник юстиции Михалева Елена Егоровна",(812) 301-98-57,http://procspb.ru/reception,"Проспект Обуховской обороны, дом 48, Санкт-Петербург, 193029, info@osgumvd.ru, запись на прием: (921) 963-52-16, Председатель  Кропачев Николай Михайлович",http://os-gumvd.ru/obrashheniya/napravit-obrashhenie/,"Оперативно-розыскная часть собственной безопасности ГУ МВД. Санкт-Петербург, ул. Жукова, 7а; тел. (812) 541-02-02; электронная приёмная: https://78.мвд.рф/request_main",полковник полиции Емцов Дмитрий Владимирович,-,-,-,,headquarters.png
Санкт-Петербургское линейное управление МВД России на транспорте,УТ,"191036, Санкт-Петербург, Невский пр., д.85, лит. ""Ф""","дежурная часть СПб ЛУ МВД России на транспорте, ЛПП на ст. Рыбацкое","ДМ, ЛП1",-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720894/,"Начальник, подполковник полиции ",Харьков Эдуард Васильевич,(812) 717-41-40,(812) 717-55-75,https://сзфоут.мвд.рф/request_main,NO_PHOTO.jpg,"191036, Санкт-Петербург, Невский пр., д. 85/12",Санкт-Петербургский транспортный прокурор Северо-Западной транспортной прокуратуры Старший советник юстиции Лепехин Игорь Юрьевич,"(812) 717-65-12, (812) 457-40-60",http://sztproc.ru/reception,"Санкт-Петербург, Лиговский проспект, дом № 226, (812) 767-07-14, sovet.ut78@mail.ru, Председатель Коловангин Петр Михайлович",https://xn--g1aohgee.xn--b1aew.xn--p1ai/Obrashhenie_v_Obshhestvennij_Sovet,-,-,-,-,-,,train_police.png
Санкт-Петербург-Балтийский линейный отдел МВД России на транспорте,УТБ,"198095, Санкт-Петербург, наб. Обводного канала, 120","дежурная часть СПб-Балтийского ЛО МВД России на транспорте, ЛПП на ст. Ораниенбаум","ДБ, ЛП4",-,https:/сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720869/,Начальник,Нетёсов Владимир Владимировчи,(812) 457-22-76,(812) 457-21-55,https://сзфоут.мвд.рф/request_main,UTB_ph1.jpg,"191036, Санкт-Петербург, Невский пр., д. 85/12",Санкт-Петербургский транспортный прокурор Северо-Западной транспортной прокуратуры Старший советник юстиции Лепехин Игорь Юрьевич,"(812) 717-65-12, (812) 457-40-60",http://sztproc.ru/reception,"Санкт-Петербург, Лиговский проспект, дом № 226, (812) 767-07-14, sovet.ut78@mail.ru, Председатель Коловангин Петр Михайлович",https://xn--g1aohgee.xn--b1aew.xn--p1ai/Obrashhenie_v_Obshhestvennij_Sovet,-,-,-,-,-,,train_police.png
Санкт-Петербург-Витебский линейный отдел МВД России на транспорте,УТВит,"190013, Санкт-Петербург, Загородный пр., д.52","дежурная часть СПб-Витебского ЛО МВД России на транспорте, ЛПП наст. Шушары, ЛПП на ст. Царское село ","ДВ, ЛП2, ЛП3",-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720874/,Начальник,Колупаев Иван Игоревич,(812) 458-69-17,"(812) 457-55-17, (812) 457-53-42",https://сзфоут.мвд.рф/request_main,UTVit_ph1.jpg,"191036, Санкт-Петербург, Невский пр., д. 85/12",Санкт-Петербургский транспортный прокурор Северо-Западной транспортной прокуратуры Старший советник юстиции Лепехин Игорь Юрьевич,"(812) 717-65-12, (812) 457-40-60",http://sztproc.ru/reception,"Санкт-Петербург, Лиговский проспект, дом № 226, (812) 767-07-14, sovet.ut78@mail.ru, Председатель Коловангин Петр Михайлович",https://xn--g1aohgee.xn--b1aew.xn--p1ai/Obrashhenie_v_Obshhestvennij_Sovet,-,-,-,-,-,,train_police.png
Линейный отдел полиции на станции Санкт-Петербург-Ладожский,УТЛад,"195213, Санкт-Петербург, Заневский пр., д.73",дежурная часть ЛОП на ст. Санкт-Петербург-Ладожский,ДЛ,-,https://сзфоут.мвд.рф/UT_MVD/podrazdeleniya/item/720874/,Начальник ,Симагин Денис Юрьевич,(812) 436-50-93,(812) 436-53-50,https://сзфоут.мвд.рф/request_main,NO_PHOTO.jpg,"191036, Санкт-Петербург, Невский пр., д. 85/12",Санкт-Петербургский транспортный прокурор Северо-Западной транспортной прокуратуры Старший советник юстиции Лепехин Игорь Юрьевич,"(812) 717-65-12, (812) 457-40-60",http://sztproc.ru/reception,"Санкт-Петербург, Лиговский проспект, дом № 226, (812) 767-07-14, sovet.ut78@mail.ru, Председатель Коловангин Петр Михайлович",https://xn--g1aohgee.xn--b1aew.xn--p1ai/Obrashhenie_v_Obshhestvennij_Sovet,-,-,-,-,-,,train_police.png
